date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:42	154461/154461	---MCZ	200	added ('OK')	application/javascript	etag:W/%226423eac4-25b5d%22	https://escamboo.com/wp-content/cache/wpfc-minified/kxy4we87/owe0.js	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/kxy4we87/owe0.js	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:42	7384/7384	---M--	200	added ('OK')	image/png	etag:%22636c38aa-1cd8%22	https://escamboo.com/wp-content/uploads/2022/11/download-150x150.png	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/uploads/2022/11/download-150x150.png	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:42	3137/3137	---M--	200	added ('OK')	image/png	etag:%22636c38aa-c41%22	https://escamboo.com/wp-content/uploads/2022/11/download.png	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/uploads/2022/11/download.png	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:42	94889/94889	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2014:56:46%20GMT	https://metodominespro.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Os%20meus%20Sites/test/metodominespro.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	217/217	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://metodominespro.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Os%20meus%20Sites/test/metodominespro.com/wp-includes/css/classic-themes.min68b3.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	6051/6051	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2018:06:58%20GMT	https://metodominespro.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Os%20meus%20Sites/test/metodominespro.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	15672/15672	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2018:06:58%20GMT	https://metodominespro.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Os%20meus%20Sites/test/metodominespro.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	143243/143243	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2007:37:40%20GMT	https://escamboo.com/lp-metodo-mines-pro/	C:/Os%20meus%20Sites/test/escamboo.com/lp-metodo-mines-pro/index.html	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	96304/96304	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2020:24:09%20GMT	https://metodominespro.com/wp-content/uploads/elementor/css/custom-frontend-lite.min.css?ver=1674159849	C:/Os%20meus%20Sites/test/metodominespro.com/wp-content/uploads/elementor/css/custom-frontend-lite.minae35.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:43	1209/1209	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2020:23:44%20GMT	https://metodominespro.com/wp-content/uploads/elementor/css/post-7.css?ver=1674159824	C:/Os%20meus%20Sites/test/metodominespro.com/wp-content/uploads/elementor/css/post-7df49.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
